Date,Open,High,Low,Close
2023-01-02,13.708,13.708,13.688,13.688
2023-01-03,13.688,13.76,13.688,13.76
2023-01-04,13.79,13.8,13.79,13.8
2023-01-05,13.736,13.765,13.73,13.73
2023-01-06,13.745,13.745,13.73,13.73
2023-01-09,13.713,13.755,13.713,13.72
2023-01-10,13.688,13.75,13.688,13.73
2023-01-11,13.709,13.73,13.709,13.73
2023-01-12,13.74,13.74,13.735,13.735
2023-01-13,13.732,13.745,13.715,13.715
2023-01-16,13.715,13.74,13.715,13.74
2023-01-17,13.738,13.738,13.7,13.7
2023-01-18,13.711,13.711,13.69,13.69
2023-01-19,13.686,13.72,13.686,13.7
2023-01-20,13.694,13.694,13.68,13.685
2023-01-23,13.687,13.7,13.687,13.695
2023-01-24,13.7,13.705,13.69,13.69
2023-01-25,13.68,13.69,13.68,13.69
2023-01-26,13.68,13.7,13.68,13.7
2023-01-27,13.69,13.71,13.69,13.71
2023-01-30,13.708,13.72,13.708,13.72
2023-01-31,13.714,13.715,13.71,13.71
2023-02-01,13.714,13.735,13.714,13.735
2023-02-02,13.736,13.736,13.725,13.725
2023-02-03,13.724,13.755,13.724,13.755
2023-02-06,13.767,13.81,13.767,13.8
2023-02-07,13.784,13.784,13.755,13.755
2023-02-08,13.749,13.749,13.73,13.73
2023-02-09,13.716,13.716,13.68,13.68
2023-02-10,13.69,13.695,13.67,13.695
2023-02-13,13.696,13.7,13.69,13.7
2023-02-14,13.68,13.68,13.68,13.68
2023-02-15,13.67,13.67,13.65,13.65
2023-02-16,13.64,13.645,13.64,13.645
2023-02-17,13.621,13.635,13.621,13.635
2023-02-22,13.628,13.64,13.628,13.64
2023-02-23,13.642,13.655,13.642,13.65
2023-02-24,13.653,13.655,13.653,13.655
2023-02-27,13.671,13.671,13.65,13.65
2023-02-28,13.65,13.66,13.65,13.65
2023-03-01,13.649,13.649,13.635,13.635
2023-03-02,13.634,13.635,13.634,13.635
2023-03-03,13.645,13.65,13.64,13.64
2023-03-06,13.645,13.645,13.61,13.61
2023-03-07,13.616,13.616,13.59,13.59
2023-03-08,13.587,13.587,13.575,13.575
2023-03-09,13.571,13.58,13.565,13.565
2023-03-10,13.561,13.6,13.561,13.6
2023-03-13,13.599,13.599,13.54,13.54
2023-03-14,13.547,13.569,13.547,13.555
2023-03-15,13.569,13.569,13.543,13.543
2023-03-16,13.543,13.585,13.535,13.585
2023-03-17,13.569,13.59,13.569,13.585
2023-03-20,13.571,13.58,13.571,13.575
2023-03-21,13.569,13.59,13.569,13.59
2023-03-22,13.584,13.585,13.575,13.575
2023-03-23,13.62,13.625,13.62,13.625
2023-03-24,13.619,13.619,13.6,13.6
2023-03-27,13.575,13.605,13.575,13.605
2023-03-28,13.425,13.425,13.425,13.425
2023-03-29,13.43,13.43,13.43,13.43
2023-03-30,13.4,13.4,13.4,13.4
2023-03-31,13.42,13.42,13.42,13.42
2023-04-03,13.425,13.425,13.4,13.4
2023-04-04,13.445,13.445,13.44,13.44
2023-04-05,13.44,13.635,13.44,13.44
2023-04-06,13.45,13.495,13.45,13.495
2023-04-10,13.49,13.49,13.475,13.475
2023-04-11,13.425,13.425,13.415,13.415
2023-04-12,13.42,13.435,13.42,13.435
2023-04-13,13.44,13.45,13.44,13.45
2023-04-14,13.46,13.465,13.46,13.465
2023-04-17,13.475,13.475,13.475,13.475
2023-04-18,13.51,13.51,13.505,13.505
2023-04-19,13.515,13.515,13.515,13.515
2023-04-20,13.51,13.53,13.51,13.53
2023-04-24,13.52,13.52,13.515,13.515
