Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2024-10-13,11.7,11.7,11.64,947.1475040981555,-0.43,-0.57,0
2024-10-14,11.66,11.66,11.66,947.3500459603009,0.13,-0.02,0
2024-10-15,11.72,11.72,11.66,947.6363403816863,0.04,-0.1,0
2024-10-16,11.71,11.71,11.71,947.7169516548332,0.39,0.24,0
2024-10-17,11.71,11.72,11.71,947.9636021991525,0.09,-0.06,0
2024-10-20,11.71,11.71,11.7,948.9080095968541,-0.17,-0.32,0
2024-10-21,11.71,11.71,11.7,949.1957062671506,-0.04,-0.19,0
2024-10-22,11.71,11.73,11.71,949.3640437504404,0.34,0.19,0
2024-10-23,11.71,11.71,11.69,949.8109663513416,-0.43,-0.57,0
2024-10-24,11.72,11.72,11.72,949.9805672107098,0.3,0.15,0
2024-10-27,11.73,11.75,11.73,950.7301942799704,0.26,0.11,0
2024-10-28,11.74,11.76,11.74,950.9811409995617,0.09,-0.06,0
2024-10-29,11.77,11.77,11.77,951.2326237769392,0.09,-0.06,0
2024-10-30,11.76,11.78,11.76,951.4846429390914,0.04,-0.1,0
2024-10-31,11.81,11.88,11.81,951.3973181743806,0.93,0.79,0
2024-11-03,11.88,11.88,11.88,952.2755372861559,0.0,-0.15,0
2024-11-04,11.9,11.9,11.87,952.605315442014,-0.13,-0.27,0
2024-11-05,11.93,11.93,11.87,952.8981033406178,0.0,-0.15,0
2024-11-06,11.93,11.96,11.93,952.863420929335,0.72,0.57,0
2024-11-07,11.98,11.98,11.98,953.0860919427554,0.21,0.06,0
2024-11-10,11.99,11.99,11.98,953.9728750660202,0.04,-0.11,0
2024-11-11,11.93,11.97,11.93,954.3039094590723,-0.13,-0.27,0
2024-11-13,11.96,12.01,11.95,954.8952945761478,0.04,-0.11,0
2024-11-17,12.54,12.54,12.54,954.1525219958622,4.76,4.61,0
2024-11-18,12.61,12.61,12.54,954.4279423017858,0.08,-0.07,0
2024-11-20,12.55,12.55,12.54,955.0794555756629,-0.16,-0.31,0
2024-11-21,12.59,12.62,12.53,955.2902685402928,0.3,0.16,0
2024-11-24,12.61,12.62,12.6,956.1240718732116,0.21,0.07,0
